epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
101,2143.22,1.66031,2.87018,0.9162,1.03359,0.66157,0.50581,0.56864,0.25704,0.5079,0.39641,0.39823,0.13825,2.0716,3.91729,1.07883,1.14394,0.00101,0.00101,0.00101
102,2171.33,1.7083,3.03656,0.91788,1.0177,0.66157,0.50581,0.56864,0.25704,0.5079,0.39641,0.39823,0.13825,2.0716,3.91729,1.07883,1.14394,0.0010001,0.0010001,0.0010001
103,2188.73,1.6371,2.86631,0.89739,1.01644,0.67989,0.52114,0.59291,0.26942,0.48806,0.38478,0.373,0.13553,2.04048,3.81057,1.05291,1.13126,0.0009902,0.0009902,0.0009902
104,2209.22,1.64563,2.9216,0.88806,1.00493,0.67989,0.52114,0.59291,0.26942,0.48806,0.38478,0.373,0.13553,2.04048,3.81057,1.05291,1.13126,0.0009803,0.0009803,0.0009803
105,2229.33,1.5985,2.69337,0.85259,0.9944,0.68928,0.53066,0.60394,0.26699,0.54098,0.41438,0.41767,0.15112,2.08658,3.88692,1.04581,1.14873,0.0009704,0.0009704,0.0009704
106,2249.95,1.68995,2.94117,0.87786,1.02481,0.68041,0.52696,0.5932,0.26867,0.52103,0.40486,0.40019,0.14263,2.06213,3.9388,1.0524,1.14725,0.0009605,0.0009605,0.0009605
107,2277.74,1.74766,3.02526,0.9022,1.0211,0.68041,0.52696,0.5932,0.26867,0.52103,0.40486,0.40019,0.14263,2.06213,3.9388,1.0524,1.14725,0.0009506,0.0009506,0.0009506
108,2296.07,1.73639,3.1078,0.92825,1.0644,0.69031,0.53066,0.60656,0.27106,0.51239,0.39693,0.39511,0.1392,2.06692,3.8774,1.05842,1.14593,0.0009407,0.0009407,0.0009407
109,2317.22,1.66044,2.85169,0.89074,1.00991,0.69031,0.53066,0.60656,0.27106,0.51239,0.39693,0.39511,0.1392,2.06692,3.8774,1.05842,1.14593,0.0009308,0.0009308,0.0009308
110,2337.67,1.68725,2.91753,0.90634,1.0294,0.70338,0.53768,0.60503,0.271,0.52208,0.40186,0.40411,0.14667,2.04461,3.95659,1.05631,1.14105,0.0009209,0.0009209,0.0009209
111,2358.94,1.62928,2.8521,0.86379,1.0116,0.70338,0.53768,0.60503,0.271,0.52208,0.40186,0.40411,0.14667,2.04461,3.95659,1.05631,1.14105,0.000911,0.000911,0.000911
112,2376,1.63004,2.81375,0.86051,0.99985,0.69313,0.53277,0.59516,0.26507,0.47378,0.36786,0.35621,0.12518,2.04078,3.96711,1.05992,1.13763,0.0009011,0.0009011,0.0009011
113,2401.48,1.64681,2.91346,0.86556,1.00092,0.69313,0.53277,0.59516,0.26507,0.47378,0.36786,0.35621,0.12518,2.04078,3.96711,1.05992,1.13763,0.0008912,0.0008912,0.0008912
114,2418.19,1.61971,2.75879,0.86421,0.99303,0.70291,0.54387,0.60666,0.26655,0.52465,0.41173,0.40121,0.14264,2.07574,3.97286,1.04563,1.14954,0.0008813,0.0008813,0.0008813
115,2439.44,1.64236,2.87426,0.88294,1.02509,0.67613,0.51533,0.57779,0.25821,0.50683,0.39588,0.39179,0.14394,2.08114,4.09003,1.06136,1.15297,0.0008714,0.0008714,0.0008714
116,2454.16,1.62668,2.90271,0.86936,1.00398,0.67613,0.51533,0.57779,0.25821,0.50683,0.39588,0.39179,0.14394,2.08114,4.09003,1.06136,1.15297,0.0008615,0.0008615,0.0008615
